#counts	het	hom	p(het)	1.25893e+10
21.0.0.0	2991	1.37762e+09	2.17114e-06
20.1.0.0	84311	3.21402e+09	2.62316e-05
19.2.0.0	703909	1.19e+09	0.000591173
19.1.1.0	212538	2.38162e+09	8.92331e-05
18.3.0.0	4.24784e+06	2.79111e+08	0.014991
18.2.1.0	1.99115e+06	1.67542e+09	0.00118704
18.1.1.1	132064	5.58405e+08	0.000236446
17.4.0.0	1.8459e+07	4.66153e+07	0.28366
17.3.1.0	1.07764e+07	3.72285e+08	0.0281323
17.2.2.0	1.17115e+06	2.79145e+08	0.00417796
17.2.1.1	1.3387e+06	5.5848e+08	0.0023913
16.5.0.0	6.10734e+07	5.87976e+06	0.912181
16.4.1.0	4.43292e+07	5.86384e+07	0.430516
16.3.2.0	6.88486e+06	1.17264e+08	0.0554563
16.3.1.1	6.4915e+06	1.17295e+08	0.0524412
16.2.2.1	1.45201e+06	1.75668e+08	0.00819786
15.6.0.0	1.58927e+08	584968	0.996333
15.5.1.0	1.38059e+08	6.94004e+06	0.952137
15.4.2.0	2.50786e+07	1.73962e+07	0.590435
15.4.1.1	2.49712e+07	1.7359e+07	0.589914
15.3.3.0	2.40611e+06	1.15794e+07	0.172044
15.3.2.1	7.79463e+06	6.93686e+07	0.101015
15.2.2.2	400334	1.73678e+07	0.022531
14.7.0.0	3.33789e+08	46012	0.999862
14.6.1.0	3.36833e+08	636996	0.998112
14.5.2.0	7.30085e+07	1.91506e+06	0.97444
14.5.1.1	7.29341e+07	1.93737e+06	0.974124
14.4.3.0	9.48676e+06	3.21089e+06	0.747127
14.4.2.1	2.64859e+07	9.64651e+06	0.733023
14.3.3.1	2.55766e+06	6.45886e+06	0.283664
14.3.2.2	2.20068e+06	9.65337e+06	0.185648
13.8.0.0	5.75241e+08	2635	0.999995
13.7.1.0	6.62034e+08	48290	0.999927
13.6.2.0	1.66934e+08	166205	0.999005
13.6.1.1	1.66981e+08	164258	0.999017
13.5.3.0	2.43099e+07	331648	0.986541
13.5.2.1	7.22612e+07	992457	0.986452
13.4.4.0	2.18407e+06	206887	0.913471
13.4.3.1	9.35940e+06	1.67348e+06	0.848319
13.4.2.2	6.59497e+06	1.24633e+06	0.841056
13.3.3.2	1.30713e+06	1.67675e+06	0.438064
12.9.0.0	8.22323e+08	97	1
12.8.1.0	1.06282e+09	3037	0.999997
12.7.2.0	3.05495e+08	11420	0.999963
12.7.1.1	3.05591e+08	10319	0.999966
12.6.3.0	5.14319e+07	28712	0.999442
12.6.2.1	1.53936e+08	80528	0.999477
12.5.4.0	5.97415e+06	40571	0.993255
12.5.3.1	2.23044e+07	163827	0.992708
12.5.2.2	1.66846e+07	116156	0.993086
12.4.4.1	2.00765e+06	97369	0.953744
12.4.3.2	4.32072e+06	400705	0.915131
12.3.3.3	190131	87232	0.685495
11.10.0.0	9.82209e+08	0	1
11.9.1.0	1.40639e+09	138	1
11.8.2.0	4.53545e+08	620	0.999999
11.8.1.1	4.53828e+08	621	0.999999
11.7.3.0	8.68217e+07	1588	0.999982
11.7.2.1	2.6048e+08	5242	0.99998
11.6.4.0	1.09946e+07	3105	0.999718
11.6.3.1	4.37286e+07	11639	0.999734
11.6.2.2	3.2762e+07	8087	0.999753
11.5.5.0	940681	1484	0.998425
11.5.4.1	5.06067e+06	16328	0.996784
11.5.3.2	9.47314e+06	34375	0.996384
11.4.4.2	854816	21981	0.97493
11.4.3.3	656178	30561	0.955498
10.10.1.0	7.71685e+08	0	1
10.9.2.0	5.5138e+08	19	1
10.9.1.1	5.51826e+08	20	1
10.8.3.0	1.18536e+08	20	1
10.8.2.1	3.55687e+08	173	1
10.7.4.0	1.69906e+07	271	0.999984
10.7.3.1	6.78863e+07	718	0.999989
10.7.2.2	5.10335e+07	544	0.999989
10.6.5.0	1.8241e+06	194	0.999894
10.6.4.1	8.58428e+06	1031	0.99988
10.6.3.2	1.70403e+07	1835	0.999892
10.5.5.1	731269	466	0.999363
10.5.4.2	1.97539e+06	4163	0.997897
10.5.3.3	1.25301e+06	2599	0.99793
10.4.4.3	227055	3146	0.986334
9.9.3.0	6.5672e+07	0	1
9.9.2.1	1.97219e+08	0	1
9.8.4.0	2.11595e+07	0	1
9.8.3.1	8.44418e+07	20	1
9.8.2.2	6.34798e+07	0	1
9.7.5.0	2.42314e+06	19	0.999992
9.7.4.1	1.21154e+07	59	0.999995
9.7.3.2	2.42271e+07	116	0.999995
9.6.6.0	199860	20	0.9999
9.6.5.1	1.30409e+06	57	0.999956
9.6.4.2	3.03974e+06	116	0.999962
9.6.3.3	2.02835e+06	136	0.999933
9.5.5.2	261123	117	0.999552
9.5.4.3	470088	444	0.999056
9.4.4.4	19092	39	0.997961
8.8.5.0	1.36353e+06	0	1
8.8.4.1	6.77460e+06	0	1
8.8.3.2	1.35856e+07	19	0.999999
8.7.6.0	286447	0	1
8.7.5.1	1.56593e+06	0	1
8.7.4.2	3.87247e+06	19	0.999995
8.7.3.3	2.60602e+06	0	1
8.6.6.1	130831	0	1
8.6.5.2	409742	38	0.999907
8.6.4.3	654499	0	1
8.5.5.3	55390	38	0.999314
8.5.4.4	39637	39	0.999017
7.7.7.0	10636	0	1
7.7.6.1	86168	0	1
7.7.5.2	225009	0	1
7.7.4.3	373489	0	1
7.6.6.2	37081	0	1
7.6.5.3	80075	0	1
7.6.4.4	48445	0	1
7.5.5.4	9126	0	1
6.6.6.3	2956	0	1
6.6.5.4	5092	0	1
6.5.5.5	296	0	1
